job_id_encoded,location_encoded,classification_encoded,sub_classification_encoded,work_type_encoded
23106,67,11,206,3
28362,46,25,251,1
31516,2,18,63,3
4217,46,24,58,3
8791,8,18,156,3
23032,56,23,206,3
9491,67,1,40,3
26086,55,7,48,3
36048,56,21,282,3
10642,55,16,47,2
4312,55,12,206,3
27163,2,26,259,3
9923,8,22,36,3
39293,60,15,175,3
19334,67,18,128,3
8027,67,21,298,3
26644,8,21,298,3
1218,46,11,166,4
28033,55,24,248,3
9,46,15,189,1
3655,46,1,211,2
5603,67,15,215,3
7557,67,26,1,3
10189,46,16,290,3
24448,2,17,242,3
32682,8,26,259,3
17305,67,21,298,1
33956,46,22,169,3
40574,52,30,146,3
23464,46,22,156,3
586,1,16,156,3
45046,55,30,206,1
19003,67,8,110,3
8720,2,8,219,1
7682,14,3,173,3
14055,8,1,167,3
6630,14,18,78,3
47501,50,15,189,1
43356,41,17,243,2
15504,67,3,9,3
30597,32,8,110,3
41376,1,18,156,3
4048,46,2,6,3
22212,55,15,198,4
18426,46,15,206,3
8256,46,21,71,1
7972,75,29,56,3
38333,77,11,279,3
19338,75,1,23,3
29787,14,11,277,3
8612,55,1,3,2
3839,25,23,181,3
25230,55,4,104,3
43086,46,15,77,1
17893,67,30,84,3
27200,67,6,73,2
16214,46,20,212,3
25657,14,15,174,4
32177,46,9,266,3
18371,46,25,43,3
20420,8,20,62,3
8919,14,8,206,3
4816,46,4,60,3
18387,46,15,234,3
31980,46,14,124,3
17509,67,17,243,2
31413,67,15,79,4
40716,67,2,6,4
356,55,4,104,3
21730,67,24,247,3
14814,46,2,207,2
18630,55,18,78,3
11398,46,22,80,3
46176,46,29,56,2
14162,46,18,257,3
39486,14,21,298,1
11670,14,21,71,3
20005,2,21,282,3
14926,67,8,110,3
42224,67,30,220,3
46013,67,21,298,3
21717,13,16,47,3
23019,14,18,260,3
41720,67,27,109,3
12554,67,26,187,3
3910,46,30,46,3
4888,67,22,206,3
32806,46,30,25,3
41766,67,17,134,3
28374,54,16,297,3
24275,48,26,156,3
41129,64,30,155,1
47741,67,18,16,2
19048,55,18,87,3
16342,14,12,154,3
10948,67,25,160,3
4758,14,18,41,3
30570,46,15,215,2
27455,67,24,34,3
43740,8,12,232,3
22191,67,16,32,4
20975,67,6,73,3
36780,46,22,227,3
46552,1,18,63,3
2898,11,12,50,3
2207,67,2,6,3
21526,55,16,156,3
6578,43,30,302,2
3599,46,15,234,4
27191,46,25,251,1
32681,74,18,41,3
25846,12,30,302,3
44051,46,18,41,3
28256,8,11,275,3
37266,56,8,219,1
35870,46,17,205,3
15128,67,21,20,2
8324,67,14,122,3
35977,5,15,195,3
39432,12,25,161,4
10583,67,15,254,3
9070,2,14,124,1
10494,67,18,41,2
17379,46,2,240,3
42780,46,8,238,2
26948,80,14,123,3
3251,14,18,41,3
15192,60,15,77,3
46922,46,24,250,2
46620,31,25,161,3
38509,46,24,247,3
28240,67,21,253,3
41600,33,2,240,3
3130,67,21,156,3
42807,39,15,156,3
6705,67,1,103,3
638,67,8,232,3
17012,46,22,169,4
45969,67,18,88,2
19952,17,15,117,3
42567,46,10,17,3
23070,67,17,243,3
33102,2,17,289,3
7980,65,13,99,3
40909,14,18,78,3
47108,67,16,144,4
1765,70,1,102,3
27805,10,15,249,3
35435,7,12,101,2
3794,67,25,251,4
1945,14,30,116,1
30338,55,21,156,3
26080,14,30,107,2
42821,67,22,142,2
36759,67,25,161,3
47204,8,18,229,3
15058,67,7,86,3
39506,14,22,80,3
4986,67,21,228,3
27704,46,15,156,3
3004,14,17,289,2
28428,74,25,251,4
24281,71,11,206,3
47685,46,18,286,3
47373,46,11,276,4
35029,14,12,90,3
30614,55,6,73,3
6134,67,10,135,3
37388,46,26,259,3
15417,46,24,247,3
26063,1,18,87,2
22073,55,30,107,3
45936,67,15,213,3
588,46,26,259,3
23190,8,8,271,3
35674,46,8,95,3
18139,1,18,186,3
37155,55,1,274,2
27451,67,2,240,3
30350,67,22,80,3
20350,2,13,296,3
13820,67,30,25,3
44775,53,15,206,2
45165,46,30,206,3
40776,71,4,104,3
27539,46,24,247,3
17693,67,16,206,3
33612,46,8,95,3
25882,67,30,126,3
31694,54,8,206,3
23426,55,12,90,2
3352,67,18,78,3
16383,8,25,161,3
41240,67,4,60,3
40805,67,15,156,3
36130,55,20,28,2
18751,39,16,144,3
33341,75,4,60,3
36464,37,18,156,3
20709,32,30,126,3
22833,46,12,50,2
24362,46,21,298,3
7414,46,18,186,3
18339,46,24,247,3
41910,69,30,261,3
17689,67,26,259,3
14532,46,21,71,1
24247,67,1,40,3
20528,67,30,25,3
46339,46,18,257,3
23134,67,8,95,3
46838,67,16,32,1
43611,67,1,40,3
40779,77,30,25,3
22039,74,1,167,3
5566,67,14,124,3
47487,1,1,2,2
5597,46,2,207,3
9841,67,21,132,3
5444,50,12,299,2
29571,17,15,264,3
41413,71,30,84,3
8478,67,15,215,3
12464,46,30,25,3
20510,67,18,229,3
44977,40,8,219,2
29351,67,30,302,2
4215,8,16,47,4
6605,8,18,78,3
39447,55,15,175,3
46770,67,6,255,3
45341,67,26,1,3
182,75,1,167,3
29915,70,20,149,3
26189,14,1,102,3
47338,1,16,297,3
25031,14,9,15,3
19135,46,26,259,3
4466,46,8,206,3
9231,67,22,169,3
35050,67,14,124,2
6594,54,8,219,2
16365,8,2,6,4
42935,31,11,49,4
9651,67,8,110,3
15819,14,9,92,3
9936,64,30,25,3
10691,67,21,206,3
39026,67,7,48,2
17948,46,8,110,3
31811,43,14,121,3
40741,8,1,206,3
41023,73,14,122,3
36555,55,23,178,2
21130,46,22,170,3
37856,67,22,170,3
13197,67,6,256,3
36033,75,22,142,3
20562,81,11,277,4
10595,21,15,176,3
27689,2,18,89,3
17858,67,6,73,3
29405,67,18,78,3
24172,23,6,73,3
18768,50,6,73,2
4080,46,21,298,3
777,75,16,47,3
18494,46,17,206,3
31843,46,8,110,3
10468,11,8,232,3
23809,54,30,206,2
46207,67,22,170,1
4839,1,15,77,3
7038,14,15,234,4
26221,42,17,242,3
2274,67,18,78,2
11650,67,17,242,3
32039,46,14,124,3
7968,67,22,206,3
14421,2,18,227,3
30236,67,1,4,3
33035,46,26,259,4
9481,18,15,176,3
12114,46,8,110,3
17455,46,6,73,3
3553,74,2,75,3
22870,46,18,78,2
23399,2,2,207,2
21524,46,26,259,3
23685,33,15,234,3
8783,67,18,229,3
9511,46,22,96,3
47652,67,17,243,3
11857,41,17,243,3
32181,33,1,40,3
3273,67,18,41,2
21513,67,26,206,3
43631,53,15,198,4
17911,67,17,289,3
44477,16,7,8,4
39805,46,25,164,3
15112,14,21,298,3
19660,46,15,215,3
18930,67,25,160,3
13640,67,1,14,3
44371,46,26,1,3
24893,46,2,206,1
10066,67,1,22,2
41218,67,21,298,2
43362,8,15,192,3
15622,14,30,39,2
47707,67,16,144,3
32321,67,25,161,3
9526,46,18,156,3
25113,67,1,2,3
2444,55,23,181,2
14538,67,30,126,3
8442,8,30,46,3
23502,11,12,50,3
23365,8,21,298,3
14798,19,25,251,3
45903,46,8,206,3
44973,21,7,8,1
8294,19,15,234,4
1257,67,4,14,3
12285,67,24,250,3
32959,55,14,122,4
29692,35,12,83,2
39313,46,1,40,3
16421,50,15,189,1
32364,46,25,164,4
36205,14,15,193,3
32898,46,12,83,3
30288,67,1,103,3
14830,75,18,88,3
10418,67,26,187,3
26109,46,12,38,3
44408,19,15,189,3
32283,46,6,270,3
14762,46,15,215,2
34751,19,25,161,3
23704,14,30,155,3
46666,67,17,243,3
17102,67,6,255,3
18009,46,20,148,3
19259,8,4,114,3
14356,14,1,102,2
21896,46,22,156,4
29930,14,25,206,3
33243,46,1,274,3
3457,75,25,177,2
27194,40,15,206,3
30127,55,16,156,3
3611,46,24,247,3
28019,1,20,206,3
31766,8,18,283,3
923,67,2,6,2
46017,42,23,179,2
15558,5,15,55,3
39955,46,10,300,2
41442,46,18,206,3
34222,46,8,110,3
3954,14,20,120,3
11151,14,11,49,4
17534,67,30,25,3
23873,8,18,227,3
8470,32,30,107,3
8179,55,1,3,2
14504,31,11,278,3
37056,46,15,215,3
6543,50,4,60,3
10405,46,1,14,4
42907,46,26,259,3
8825,67,18,76,4
20312,67,6,206,3
20331,67,18,206,3
23092,67,11,206,3
31475,67,18,186,3
18580,14,15,176,2
18705,67,14,124,3
22921,46,11,49,4
1535,46,13,296,3
18776,67,2,6,3
3269,73,30,284,3
15398,55,21,206,1
9192,67,3,173,3
12422,8,20,149,3
39463,67,7,48,3
15617,46,12,206,3
35601,46,18,229,3
8781,67,18,128,3
19620,14,17,134,3
635,50,30,107,2
32129,46,12,50,3
24618,73,14,123,2
21026,67,15,254,3
41850,13,23,181,3
1222,67,23,224,3
13567,2,12,136,3
7747,19,8,206,3
35016,57,15,192,1
4008,49,15,215,2
34056,67,24,248,3
33466,14,1,2,3
25954,46,7,48,3
34402,14,16,32,1
40931,68,4,54,3
16135,67,25,164,3
47343,8,1,40,3
45731,67,21,216,2
3303,67,18,301,3
16054,52,30,126,3
47425,8,15,206,3
5268,53,12,299,3
44874,67,7,113,3
9172,46,27,109,3
14015,37,23,182,3
41708,52,18,156,3
29738,67,10,141,3
19795,32,14,122,2
34057,67,27,145,3
31856,8,2,200,3
9438,67,30,126,3
26605,67,6,256,3
44606,8,25,251,4
7923,46,8,95,3
30960,1,18,206,2
42535,14,27,238,2
13607,67,6,73,3
26149,14,18,41,2
45301,1,15,189,2
45466,43,16,47,2
33695,46,30,25,3
42606,67,24,206,3
32493,14,20,151,3
12870,67,22,156,3
41550,61,15,189,1
43691,19,15,206,4
28892,46,30,261,3
26990,2,11,49,1
15010,67,12,50,3
34006,67,12,156,3
46682,8,13,206,4
24821,2,15,77,3
31176,63,30,302,3
44348,46,8,95,3
4804,14,18,88,3
17209,67,21,298,1
19925,56,30,25,2
24803,67,7,86,3
25608,81,7,156,3
8434,67,30,84,3
41080,1,18,41,2
12410,23,16,112,4
35240,50,23,127,3
10855,75,2,6,3
18291,46,26,259,3
978,46,11,277,4
24156,67,21,253,3
1011,2,30,302,3
11189,45,2,6,4
13358,46,21,253,3
4516,8,20,206,3
40220,46,18,16,3
38433,67,8,110,3
23788,52,12,172,3
26582,67,25,164,3
46174,23,24,247,3
24860,67,22,96,3
39913,67,16,156,3
45286,46,15,214,3
28172,46,15,206,4
29492,14,12,156,3
5507,8,18,229,3
43312,14,18,186,3
8767,1,18,16,2
36437,67,14,123,3
32825,32,30,146,2
42728,67,21,228,3
13900,74,30,302,3
8009,46,30,25,3
38177,67,21,216,1
19984,14,2,241,3
38770,46,11,278,1
27099,31,15,188,3
26361,8,11,275,3
28885,67,12,172,2
22230,55,18,229,3
22972,56,15,117,2
38247,46,26,1,3
7902,14,2,6,3
26020,67,1,3,3
14710,67,1,3,3
42306,2,15,234,3
7509,74,21,206,3
42693,67,2,65,3
6840,8,18,78,3
3605,67,26,259,3
6415,67,21,206,3
18688,46,18,78,3
15096,43,14,121,3
45581,46,18,87,3
21768,67,18,260,3
38201,37,7,86,3
30796,46,21,156,3
8884,67,4,206,3
38428,75,1,4,3
39364,67,20,28,3
26840,67,1,211,2
16195,67,18,257,3
40899,67,26,187,3
9873,57,16,156,3
8872,46,8,110,3
42632,46,2,6,4
12589,46,8,95,3
47292,8,8,232,3
14460,13,14,122,4
13454,14,1,22,4
11955,67,11,49,2
38517,46,18,89,3
37915,75,8,110,3
17991,78,16,47,3
31855,8,4,291,3
2651,74,15,175,2
16761,50,24,247,3
14983,61,15,189,3
18932,67,18,156,3
39130,46,15,264,2
26706,46,15,156,3
32894,14,14,122,3
24271,2,6,73,1
3088,14,26,206,4
4992,23,7,48,3
7917,46,11,49,4
3551,67,25,164,3
40503,8,25,160,3
47207,2,30,208,3
24132,8,16,144,3
22530,8,16,47,3
45767,67,18,186,3
12402,2,11,206,4
10351,67,26,187,3
46516,14,23,156,3
20649,55,21,282,2
12021,14,30,25,1
36691,46,4,183,3
37345,46,15,77,3
14315,46,1,40,3
39286,8,18,88,3
31347,67,5,118,3
13167,55,11,49,3
18782,67,24,58,1
9508,14,16,32,2
21958,2,16,112,1
24606,46,17,243,2
22194,46,18,78,3
20171,19,26,187,3
8425,14,30,107,3
37883,71,2,6,4
32993,46,18,286,2
45632,67,26,156,3
7782,3,21,298,2
40462,55,22,206,3
17738,46,2,241,3
18820,67,8,206,3
17351,67,22,80,3
35723,2,7,8,1
25692,46,16,47,3
12564,46,2,200,3
10669,46,1,3,3
15530,67,6,73,2
34397,55,1,102,3
25978,46,20,148,3
13809,46,12,38,3
29257,14,18,16,2
4072,67,30,25,3
17175,67,18,78,3
40017,67,8,232,3
27875,67,30,84,3
30125,55,15,189,4
44384,46,25,206,1
40896,67,6,158,3
10157,14,25,160,3
9021,55,15,214,3
5037,14,18,89,3
31166,80,8,95,3
28034,52,21,253,3
3710,67,16,32,1
47216,67,8,95,3
40430,67,16,47,1
10996,46,30,39,3
42411,31,30,107,2
27795,55,7,86,3
36626,67,11,275,2
42429,46,1,2,2
9622,67,8,127,3
17163,46,16,112,3
37731,8,21,237,3
41616,67,15,192,3
22714,8,1,40,3
6871,46,2,53,3
30439,67,16,297,4
35687,46,15,215,3
734,46,26,1,3
11781,46,21,298,1
44778,1,2,206,3
45808,46,26,258,3
6102,56,2,207,2
16091,67,1,40,3
44824,55,11,49,3
355,14,30,25,3
26443,8,30,206,3
6500,65,26,259,4
30345,2,18,63,3
45801,67,18,229,3
46902,1,15,174,4
35354,66,15,189,1
8244,55,21,298,3
7984,46,21,156,2
31237,8,24,5,4
19246,75,3,143,3
44603,8,1,167,3
5819,1,26,187,3
33412,75,4,156,3
36306,14,15,254,3
15028,14,24,34,3
39816,46,18,89,3
5862,55,26,259,3
20282,67,18,229,3
43600,54,2,240,3
2257,46,18,16,3
31243,8,11,275,2
41150,67,15,254,3
3916,1,30,284,2
28500,8,18,88,3
23174,2,15,234,3
12814,33,24,248,3
16829,67,18,41,2
14524,46,6,73,3
22198,67,15,215,3
19506,1,18,41,2
29941,14,10,18,3
25112,67,18,78,3
39402,1,18,206,2
17801,50,15,206,1
23662,74,30,84,3
16824,46,20,119,3
9983,67,18,41,2
11772,55,20,28,3
14839,1,18,16,2
18677,2,16,47,3
37778,67,22,80,4
20575,74,14,121,3
43439,42,23,179,3
14776,19,2,6,2
29044,67,1,14,3
9009,14,29,156,3
30700,46,23,14,3
5119,67,30,284,3
20713,46,30,84,3
33721,67,30,206,3
13898,46,19,293,3
31720,82,17,64,4
38170,19,14,121,4
22373,46,21,298,3
36143,45,6,74,4
35918,54,22,142,3
24651,46,18,260,3
8713,67,4,60,3
4201,8,30,25,3
6667,50,26,206,3
36393,77,2,65,3
42951,67,22,80,3
10167,67,30,84,3
43076,67,24,247,3
43992,8,25,206,3
37652,8,21,228,3
19191,67,11,275,3
4094,46,14,122,3
14545,46,26,187,3
10596,67,10,17,3
45914,67,8,95,3
16868,67,6,73,2
34341,46,21,237,3
9333,67,8,206,3
19863,67,15,213,3
34433,46,15,234,4
974,25,23,179,3
17986,46,30,302,3
5301,46,23,127,3
657,11,2,6,2
7965,8,26,259,3
4586,21,17,199,3
45323,67,22,80,2
44299,46,18,41,2
8594,55,30,302,1
20567,14,26,259,3
15447,67,16,290,3
34740,46,30,146,3
35101,55,30,220,1
42483,46,1,103,3
10095,14,11,49,3
15256,67,30,25,3
33020,74,18,78,3
2113,46,1,70,3
23910,80,15,209,3
9644,54,30,126,3
22303,46,17,64,3
41182,80,26,1,3
8257,67,4,72,3
30719,67,20,119,4
12097,14,14,124,2
30503,46,8,271,3
19436,8,10,147,4
19440,8,22,169,3
30693,67,30,11,3
43630,67,2,53,3
27054,46,2,206,3
14160,67,21,298,3
12099,31,21,206,3
34189,24,15,176,3
37199,67,26,1,3
34150,46,5,206,3
1732,67,22,36,3
17247,67,15,206,2
42262,53,30,146,2
27692,1,18,89,3
1906,46,26,259,3
31616,67,6,255,3
24213,67,22,80,3
25480,67,11,277,3
41966,75,21,298,3
7013,57,30,46,3
6312,55,12,136,2
18462,46,18,227,2
28297,67,14,124,3
6706,67,16,206,3
38368,67,7,59,1
2879,8,8,232,3
5617,46,18,229,3
11211,55,10,206,3
44159,46,25,164,3
47026,46,15,215,2
7232,67,26,187,3
16626,67,18,285,3
2014,67,1,103,3
19835,55,30,116,3
37061,14,2,75,1
43166,67,26,187,3
47096,67,18,227,3
1298,67,22,36,3
22476,14,30,116,3
24617,67,17,242,3
16297,67,20,149,3
28774,67,18,128,2
43731,46,21,153,1
7893,1,18,286,2
43149,46,18,78,3
16495,78,15,197,3
33097,67,21,153,3
47779,52,26,259,4
15426,67,21,228,3
41235,46,21,298,2
1163,80,15,175,3
40086,1,15,175,3
14192,14,21,153,3
46508,46,1,21,2
45596,67,6,73,3
4499,67,30,126,3
24075,46,15,176,1
33611,73,14,124,2
47390,18,14,124,3
29215,8,6,158,3
10217,46,18,63,3
18657,51,25,251,3
10304,67,16,32,1
33802,25,22,169,3
21365,67,1,22,3
15079,67,15,198,3
37467,67,22,169,3
13361,67,5,118,3
30966,55,23,181,3
3939,67,15,234,4
14036,10,13,99,3
36099,46,8,232,3
40317,1,30,25,3
8643,46,18,78,3
4984,32,24,247,3
11592,46,17,243,2
27645,75,14,121,3
12908,67,4,54,3
26415,46,17,64,2
46275,67,22,288,3
45966,25,8,219,3
34541,67,11,275,3
30321,46,17,162,2
24331,46,11,277,4
12246,14,15,213,2
43914,14,30,146,3
6161,55,15,206,3
12336,67,30,25,3
2052,50,18,78,3
23555,46,7,86,3
35989,46,18,41,3
35649,46,18,128,3
30761,67,4,31,4
32485,67,12,154,3
31878,66,11,279,4
1440,80,15,189,3
16605,46,10,17,3
29679,52,23,182,3
25443,11,30,46,2
27066,67,26,258,4
4179,67,1,40,3
41973,1,18,89,3
3388,46,25,164,3
41816,46,2,53,3
20086,80,15,189,3
31936,74,21,298,3
33888,55,30,302,2
12732,67,30,25,3
44936,46,25,206,3
10400,67,4,31,3
23121,80,15,117,3
23579,63,14,122,2
33682,67,15,189,3
14253,31,6,256,1
20035,67,2,240,3
17200,46,26,1,3
33803,46,21,20,3
23657,55,23,179,2
8565,46,26,1,3
25711,57,7,8,1
44500,55,23,181,2
23158,46,15,55,3
28010,55,7,8,1
11239,34,7,8,1
30717,67,30,84,3
32207,46,12,50,2
40815,2,12,83,3
26532,56,23,203,3
17540,8,17,242,3
6031,67,30,146,3
18957,67,26,259,3
43415,75,12,299,3
6815,1,18,41,2
